,Unnamed: 0,Age,Month,Site,Departamento,Municipio,Empresa,Estrato 1_Suscriptores,Estrato 2_Suscriptores,Estrato 3_Suscriptores,Estrato 4_Suscriptores,Estrato 5_Suscriptores,Estrato 6_Suscriptores,Industrial_Suscriptores,Comercial_Suscriptores,Oficial_Suscriptores,Otros_Suscriptores,Estrato 1_Consumo,Estrato 2_Consumo,Estrato 3_Consumo,Estrato 4_Consumo,Estrato 5_Consumo,Estrato 6_Consumo,Industrial_Consumo,Comercial_Consumo,Oficial_Consumo,Otros_Consumo,Estrato 1_Valor Consumo,Estrato 2_Valor Consumo,Estrato 3_Valor Consumo,Estrato 4_Valor Consumo,Estrato 5_Valor Consumo,Estrato 6_Valor Consumo,Industrial_Valor Consumo,Comercial_Valor Consumo,Oficial_Valor Consumo,Otros_Valor Consumo,Estrato 1_Consumo Por Suscritor,Estrato 2_Consumo Por Suscritor,Estrato 3_Consumo Por Suscritor,Estrato 4_Consumo Por Suscritor,Estrato 5_Consumo Por Suscritor,Estrato 6_Consumo Por Suscritor,Industrial_Consumo Por Suscritor,Comercial_Consumo Por Suscritor,Oficial_Consumo Por Suscritor,Otros_Consumo Por Suscritor,Estrato 1_Valor Por Suscritor,Estrato 2_Valor Por Suscritor,Estrato 3_Valor Por Suscritor,Estrato 4_Valor Por Suscritor,Estrato 5_Valor Por Suscritor,Estrato 6_Valor Por Suscritor,Industrial_Valor Por Suscritor,Comercial_Valor Por Suscritor,Oficial_Valor Por Suscritor,Otros_Valor Por Suscritor,Estrato 1_Precio por Vatio,Estrato 2_Precio por Vatio,Estrato 3_Precio por Vatio,Estrato 4_Precio por Vatio,Estrato 5_Precio por Vatio,Estrato 6_Precio por Vatio,Industrial_Precio por Vatio,Comercial_Precio por Vatio,Oficial_Precio por Vatio,Otros_Precio por Vatio
1856,1856,2016,Julio,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,25863.0,38712.0,,,,,,,,,8211281.0,13952280.0,,,,,,,,,8621.0,19356.0,,,,,,,,,2737093.6666666665,6976140.0,,,,,,,,,317.49143564165024,360.4122752634842,,
3026,1016,2014,Julio,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,76069.0,22133.0,,,,,,,,,32272276.0,10558055.0,,,,,,,,,15213.8,22133.0,,,,,,,,,6454455.2,10558055.0,,,,,,,,,424.2500361513889,477.02774138164733,,
3550,432,2017,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,393.0,,,,,,,,,,178607.0,,,,,,,,,,393.0,,,,,,,,,,178607.0,,,,,,,,,,454.470737913486,
4986,1868,2017,Marzo,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,9402.0,40201.0,,,,,,,,,3300856.0,15938298.0,,,,,,,,,3134.0,20100.5,,,,,,,,,1100285.3333333333,7969149.0,,,,,,,,,351.0801957030419,396.46521230815154,,
5542,447,2018,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,,,,,,,,,1.0,,,,,,,,,,437.0,,,,,,,,,,211171.0,,,,,,,,,,437.0,,,,,,,,,,211171.0,,,,,,,,,,483.2288329519451,
6251,1156,2018,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,504.0,5092.0,127.0,,,,10.0,279.0,21.0,5.0,52157.0,569240.0,18042.0,,,,91344.0,124117.0,37294.0,63556.0,28092272.39,305981060.91,9662652.5,,,,41000045.79,65832907.86,18251687.57,30802996.55,103.48611111111111,111.7910447761194,142.06299212598427,,,,9134.4,444.8637992831541,1775.904761904762,12711.2,55738.63569444445,60090.54613315004,76083.87795275591,,,,4100004.579,235960.24322580645,869127.9795238095,6160599.3100000005,538.609820158368,537.5255795622234,535.564377563463,,,,448.85319002890174,530.4100796828799,489.4001064514399,484.6591439045881
7104,2009,2018,Septiembre,Urbano,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,3.0,2.0,,,,,,,,,28853.0,38330.0,,,,,,,,,10949772.0,16587250.0,,,,,,,,,9617.666666666666,19165.0,,,,,,,,,3649924.0,8293625.0,,,,,,,,,379.5020275188022,432.7484998695539,,
8057,838,2010,Julio,Rural,VALLE DEL CAUCA,GUACARI,EMPRESA DE ENERGÍA DEL PACÍFICO S.A. E.S.P.,593.0,2356.0,31.0,8.0,7.0,12.0,48.0,53.0,12.0,,119665.0,586692.0,17955.0,9803.0,2943.0,10828.0,260559.0,66399.0,5963.0,,47078063.99,228825482.74,6741959.4,3537693.7,1109677.62,4081113.32,57401612.2,19741903.03,2352164.98,,201.79595278246205,249.02037351443124,579.1935483870968,1225.375,420.42857142857144,902.3333333333334,5428.3125,1252.811320754717,496.9166666666667,,79389.65259696459,97124.56822580646,217482.5612903226,442211.7125,158525.3742857143,340092.7766666667,1195866.9208333334,372488.73641509435,196013.74833333332,,393.4154848117662,390.0265944311496,375.492030075188,360.87867999591964,377.0566156982671,376.9037052087181,220.30178270564443,297.32229446226603,394.46,
8298,1079,2010,Julio,Rural,VALLE DEL CAUCA,GUACARI,ENERTOTAL S.A. E.S.P.,,,,,,,5.0,1.0,,,,,,,,,64182.0,12131.0,,,,,,,,,18184040.0,4177484.0,,,,,,,,,12836.4,12131.0,,,,,,,,,3636808.0,4177484.0,,,,,,,,,283.3199339378642,344.36435578270545,,
8336,1117,2010,Julio,Rural,VALLE DEL CAUCA,GUACARI,VATIA S.A. E.S.P.,,,,,,,1.0,,,,,,,,,,5482.0,,,,,,,,,,1785867.0,,,,,,,,,,5482.0,,,,,,,,,,1785867.0,,,,,,,,,,325.7692448011675,,,
